"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT10","WT11","WT13","WT14","WT16","WT21"
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-08","6.49",,,"0.03",,,"88","72","  160","  160","21.0","25.1",,,"    1",,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-09","8.95",,,"0.00",,,"83","73","   30","  340","17.9","23.0",,,,,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-10","7.83",,,"0.00",,,"83","69","   50","   20","15.0","21.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-11","6.04",,,"0.33",,,"77","68","  100","  110","21.0","30.0",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-12","8.05",,,"0.25",,,"83","69","  170","  180","23.9","31.1",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-13","4.92",,,"0.00",,,"80","65","  340","  350","12.1","14.1","    1",,,,,,,,,"    1",,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-14","7.61",,,"0.00",,,"82","69","   20","   10","13.0","17.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-15","5.14",,,"0.00",,,"85","69","  200","  350","12.1","15.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-16","6.49",,,"0.00",,,"86","68","   30","   10","16.1","21.9",,,"    1",,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-17","5.37",,,"0.00",,,"89","68","  340","  340","12.1","17.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-18","6.04",,,"0.00",,,"91","69","   40","   20","14.1","16.1",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-19","5.14",,,"0.00",,,"90","68","   50","   40","16.1","21.9",,,,,,,"    1",,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-20","5.59",,,"0.00",,,"88","69","   30","   30","16.1","19.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-21","6.49",,,"0.00",,,"92","68","  290","   10","14.1","17.0",,,,,,,"    1",,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-22","5.82",,,"0.00",,,"90","71","   10","   40","12.1","14.1",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-23","6.26",,,"0.00",,,"89","72","  210","  200","17.9","23.0",,,"    1",,,,"    1",,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-24","10.07",,,"0.00",,,"88","72","  180","  180","17.9","23.0","    1",,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-25","6.26",,,"0.00",,,"89","72","  160","  170","15.0","19.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-26","4.92",,,"0.00",,,"93","69","  150","  160","14.1","17.9","    1",,,,,,,,,,,,"    1"
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-27","4.92",,,"0.00",,,"94","76","   20","   10","12.1","16.1","    1",,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-28","7.61",,,"0.00",,,"94","75","   40","   30","16.1","19.9","    1",,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-29","9.40",,,"0.00",,,"92","76","  300","  240","15.0","25.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-30","6.71",,,"0.00",,,"92","74","  190","  190","16.1","19.9",,,"    1",,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-31","6.71",,,"0.79",,,"86","69","  270","  270","33.1","40.9",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-01","9.17",,,"0.00",,,"86","69","   30","  300","17.9","28.0",,,"    1",,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-02","5.59",,,"0.00",,,"88","65","  160","  170","12.1","15.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-03","7.16",,,"0.00",,,"90","70","  170","  170","17.0","21.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-04","6.49",,,"0.00",,,"92","73","  210","  250","14.1","17.9","    1",,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-05","7.83",,,"0.00",,,"93","74","  200","  180","19.9","23.9",,,"    1",,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-06","6.49",,,"0.00",,,"94","74","  160","  160","21.0","25.1",,,"    1",,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-07","3.58",,,"0.14",,,"88","74","   20","   30","21.9","25.1",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-08","6.93",,,"0.01",,,"86","74","   50","   40","23.9","32.0","    1",,,,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-09","6.93",,,"0.19",,,"85","73","   60","   70","17.9","21.9",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-10","6.04",,,"1.37",,,"81","73","  170","  180","23.0","30.0",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-11","10.51",,,"0.00",,,"90","78","  180","  180","19.9","23.0","    1",,,,,,,,,"    1",,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-12","9.40",,,"0.00",,,"88","71","   30","   10","30.0","40.0",,,,,,,,,"    1",,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-13","6.04",,,"0.00",,,"89","73","  330","  330","14.1","17.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-14","4.92",,,"0.51",,,"90","72","  210","  210","29.1","36.0",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-15","6.04",,,"0.02",,,"88","73","   70","   80","15.0","19.9","    1",,,,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-16","9.62",,,"0.00",,,"87","75","   80","   70","21.0","30.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-17","8.50",,,"0.92",,,"87","72","  140","  140","17.9","23.9",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-18","10.29",,,"0.02",,,"87","76","  130","  110","19.9","25.1",,,,,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-19","9.84",,,"0.00",,,"88","76","  140","  140","21.0","23.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-20","6.71",,,"0.00",,,"88","73","  110","  120","17.9","25.1",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-21","7.83",,,"0.00",,,"91","75","   30","   30","17.0","21.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-22","8.72",,,"0.00",,,"91","77","   40","   40","17.9","23.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-23","10.51",,,"0.00",,,"92","80","   50","   70","21.0","28.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-24","10.74",,,"0.00",,,"95","79","   30","   40","17.9","23.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-25","7.61",,,"0.00",,,"97","81","   30","   30","17.0","21.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-26","8.05",,,"0.00",,,"98","82","   30","   30","15.0","19.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-27","4.92",,,"0.00",,,"97","80","  150","  260","14.1","17.9",,,,,,,"    1",,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-28","4.70",,,"0.00",,,"95","80","  190","  200","12.1","13.0",,,,,,,,,,,"    1","    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-29","6.04",,,"0.00",,,"94","78","  190","  220","15.0","17.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-06-30","6.49",,,"0.00",,,"92","77","  180","  200","14.1","17.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-01","6.04"," 9999",,"0.00",,,"93","77","  200","  210","14.1","25.9",,,,,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-02","5.14"," 9999",,"0.00",,,"95","76","   20","   20","17.9","23.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-03","6.26"," 9999",,"0.00",,,"96","77","  150","  110","15.0","21.0",,,"    1",,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-04","4.92"," 9999",,"0.33",,,"93","74","  150","  140","29.1","38.0",,,"    1",,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-05","5.37"," 9999",,"0.00",,,"94","76","  260","  260","14.1","17.0",,,,,,,"    1",,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-06","5.37"," 9999",,"2.23",,,"94","75","  210","  170","33.1","46.1",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-07","3.80"," 9999",,"0.00",,,"88","75","  170","  100","13.0","16.1",,,"    1",,,,"    1",,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-08","3.36"," 9999",,"0.02",,,"92","77","  280","  260","17.0","23.0",,,"    1",,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-09","6.49"," 9999",,"0.04",,,"89","76","  180","  180","16.1","19.9",,,,,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-10","6.26"," 9999",,"0.10",,,"83","74","  250","  250","17.9","23.0",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-11","5.37"," 9999",,"0.74",,,"88","74","  250","  280","19.9","28.0","    1",,,,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-12","6.49"," 9999",,"0.02",,,"91","76","  320","  320","17.0","25.1",,,"    1",,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-13","3.80"," 9999",,"0.58",,,"88","73","  240","  250","21.0","23.0",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-14","4.03"," 9999",,"0.00",,,"89","74","   70","  120","12.1","15.0",,,,,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-15","2.24"," 9999",,"0.64",,,"89","76","  300","   90","17.0","21.0",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-16","4.25"," 9999",,"0.00",,,"91","76","  230","  230","19.9","25.9",,,"    1",,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-17","3.58"," 9999",,"0.00",,,"95","76","  170","  180","14.1","16.1",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-18","6.71"," 9999",,"0.21",,,"93","75","  240","  240","21.0","25.9",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-19","6.71"," 9999",,"1.77",,,"91","75","   60","   60","23.9","31.1",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-20","4.47"," 9999",,"3.57",,,"81","71","  170","   60","28.0","42.9",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-21","4.70"," 9999",,"0.37",,,"86","72","  180","  190","15.0","17.9",,,,,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-22","5.82"," 9999",,"0.00",,,"89","76","  150","  130","14.1","19.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-23","5.59"," 9999",,"0.00",,,"91","76","   90","   80","16.1","23.0",,,,,,,"    1",,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-24","3.80"," 9999",,"0.00",,,"92","77","  150","  160","14.1","17.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-25","4.47"," 9999",,"0.09",,,"92","77","  320","  310","21.0","30.0",,,"    1",,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-26","5.82"," 9999",,"0.11",,,"92","77","  220","  220","23.9","33.1",,,"    1",,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-27","4.92"," 9999",,"0.32",,,"88","73","  180","  190","17.0","21.9",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-28","6.26"," 9999",,"0.45",,,"91","75","  300","  270","23.9","36.9",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-29","4.25"," 9999",,"0.00",,,"94","77","  220","  250","10.1","15.0",,,,,,,,,,"    1",,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-30","5.59"," 9999",,"0.00",,,"94","79","  240","  230","14.1","17.9","    1",,,,,,,,,"    1",,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-07-31","5.59"," 0921"," 0929","0.00",,,"93","79","  290","  290","14.1","17.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-01","7.38",,,"0.00",,,"93","80","  250","  270","12.1","16.1",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-02","6.04",,,"0.00",,,"94","79","  280","  280","13.0","17.0",,,"    1",,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-03","4.92",,,"0.02",,,"92","80","  250","  250","19.9","25.1",,,"    1",,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-04","3.36",,,"1.55",,,"91","73","  150","  160","29.1","36.0",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-05","3.80",,,"0.27",,,"89","76","  100","  100","19.9","25.1",,,"    1",,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-06","4.25",,,"0.00",,,"92","77","   10","   20","17.9","21.9",,,"    1",,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-07","3.36",,,"0.00",,,"91","76","  350","  360","12.1","15.0",,,"    1",,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-08","2.91",,,"0.56",,,"91","75","  140","  140","25.9","36.0",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-09","6.04",,,"0.14",,,"91","74","  250","  240","21.0","29.1",,,"    1",,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-10","8.05",,,"0.24",,,"88","75","  290","  290","21.9","25.9",,,"    1",,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-11","4.47",,,"0.18",,,"88","74","  310","  310","21.0","28.0",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-12","2.91",,,"0.00",,,"92","75","  230","  220","13.0","15.0",,,,,,,,,,"    1",,,"    1"
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-13","7.16",,,"0.05",,,"94","78","  200","  220","23.9","32.0",,,,,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-14","8.95",,,"0.09",,,"95","80","  220","  220","23.9","31.1",,,,,,,"    1",,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-15","4.92",,,"0.42",,,"94","78","  200","  190","17.0","21.9",,,"    1",,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-16","3.36",,,"0.18",,,"92","74","  250","  250","25.1","30.0",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-17","4.03",,,"1.81",,,"90","75","  220","  220","25.1","29.1",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-18","5.14",,,"0.70",,,"88","72","  210","  210","25.9","32.0","    1",,,,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-19","5.82",,,"1.39",,,"78","71","  360","  360","19.9","25.9",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-20","3.13",,,"0.00",,,"87","72","  200","  190","15.0","17.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-21","5.14",,,"0.00",,,"88","73","   50","   40","15.0","21.9","    1",,,,,,,,,"    1",,,"    1"
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-22","5.59",,,"0.00",,,"87","73","  210","  210","17.0","21.0",,,,,,,"    1",,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-23","4.25",,,"0.40",,,"87","72","   80","   90","17.9","23.9",,,"    1",,,,,,,,,"    1","    1"
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-24","3.80",,,"0.30",,,"88","73","  210","  220","17.0","21.0",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-25","5.59",,,"0.00",,,"90","73","  120","  150","15.0","21.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-26","5.59",,,"0.00",,,"90","77","   60","   40","16.1","21.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-27","13.20",,,"0.00",,,"90","76","   20","   20","23.0","31.1",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-28","30.20",,,"1.22",,,"86","76","   30","   30","53.0","68.9",,,,,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-29","35.34",,,"7.86",,,"79","77","   60","   80","51.9","74.9","    1",,,,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-30","17.90",,,"1.21",,,"82","74","  180","  170","34.9","45.0","    1",,,,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-08-31","11.86",,,"0.02",,,"87","79","  170","  170","21.9","28.0","    1",,,,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-09-01","7.61",,,"0.00",,,"90","79","  170","  170","15.0","17.0",,,"    1",,,,,,,"    1",,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-09-02","7.16",,,"0.00",,,"92","78","  220","  230","14.1","19.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-09-03","7.16",,,"0.00",,,"92","78","  250","  240","13.0","16.1",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-09-04","8.95",,,"0.00",,,"92","78","  270","  270","17.0","19.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-09-05","9.40",,,"0.00",,,"92","79","  290","  270","21.0","25.9",,,"    1",,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-09-06","6.93",,,"0.00",,,"92","79","  340","   30","13.0","17.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-09-07","6.04",,,"0.00",,,"91","77","   30","   30","16.1","21.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-09-08","8.50",,,"0.09",,,"94","75","  260","  260","32.0","40.0",,,,,,,"    1",,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-09-09","11.18",,,"0.00",,,"83","72","   20","   40","19.9","23.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-09-10","5.59",,,"0.00",,,"85","69","   20","   40","16.1","19.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-09-11","6.93",,,"0.00",,,"88","67","   80","  100","15.0","21.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-09-12","4.70",,,"0.00",,,"89","75","  130","   80","15.0","19.9",,,,,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-09-13","4.92",,,"0.11",,,"88","75","  170","  170","17.9","25.1",,,"    1",,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-09-14","5.82",,,"0.00",,,"90","75","   80","  120","12.1","19.9",,,,,,,,,,,,,
